"","Year","Number of women who spoke","Number of men who spoke","Number of MSPs who spoke","Number of syllables by women","Number of syllables by men","Total number of syllables","Proportion of syllables by women","Proportion of syllables by men","Number of speeches by women","Number of speeches by men","Total number of speeches","Proportion of speeches by women","Proportion of speeches by men","Proportion of women-focussed speeches by women","Proportion of women-focussed speeches by men","Proportion of women-focussed speeches"
"1","1999",48,81,129,685062,1604080,2289142,0.299265838466989,0.700734161533011,2576,7170,9746,0.264313564539298,0.735686435460702,0.0601708074534162,0.0253835425383543,0.0345782885286271
"2","2000",48,82,130,1450667,3241638,4692305,0.309158718369756,0.690841281630244,5688,14823,20511,0.277314611671786,0.722685388328214,0.0552039381153305,0.0229373271267625,0.0318853298230218
"3","2001",48,84,132,1377863,3064415,4442278,0.31017036754566,0.68982963245434,4884,13372,18256,0.267528483786153,0.732471516213848,0.0579443079443079,0.0250523481902483,0.033851884312007
"4","2002",48,81,129,1402210,3344847,4747057,0.295385119664668,0.704614880335332,4415,14943,19358,0.228071081723319,0.771928918276682,0.0570781426953567,0.0208124205313525,0.0290835830147743
"5","2003",59,95,154,1354429,3022851,4377280,0.309422518093428,0.690577481906572,4689,13153,17842,0.262806860217464,0.737193139782536,0.0658989123480486,0.0274462099901163,0.0375518439636812
"6","2004",51,78,129,1629271,3336362,4965633,0.328109427337864,0.671890572662136,5504,13550,19054,0.288863230817676,0.711136769182324,0.0739462209302326,0.0337269372693727,0.0453448094888212
"7","2005",51,80,131,1686713,3295271,4981984,0.338562508430376,0.661437491569624,5635,12946,18581,0.303266777891394,0.696733222108606,0.0638864241348713,0.0308203306040476,0.040848178246596
"8","2006",51,79,130,1589088,3291504,4880592,0.325593288683012,0.674406711316988,5384,12885,18269,0.294706880507964,0.705293119492036,0.0549777117384844,0.0275514163756306,0.0356341343259073
"9","2007",59,113,172,1414238,2885714,4299952,0.328896229539306,0.671103770460693,5082,11814,16896,0.30078125,0.69921875,0.0444706808343172,0.0241239207719655,0.0302438446969697
"10","2008",44,85,129,1596629,3430822,5027451,0.317582210149835,0.682417789850165,5087,12906,17993,0.282721058189296,0.717278941810704,0.0430509140947513,0.0261118859445219,0.0309009059078531
"11","2009",45,85,130,1653239,3343476,4996715,0.330865178422223,0.669134821577777,4957,12543,17500,0.283257142857143,0.716742857142857,0.0486181157958443,0.0275053814876824,0.0334857142857143
"12","2010",45,84,129,1591655,3853430,5445085,0.292310404704426,0.707689595295574,4507,13141,17648,0.255383046237534,0.744616953762466,0.0552473929443089,0.0298303021079066,0.0363213961922031
"13","2011",62,114,176,1531679,2964757,4496436,0.340642900288139,0.659357099711861,4424,9077,13501,0.327679431153248,0.672320568846752,0.0452079566003617,0.0339319158312218,0.0376268424561144
"14","2012",44,84,128,2162784,3554215,5716999,0.378307570108023,0.621692429891977,6937,11700,18637,0.372216558458979,0.627783441541021,0.0553553409254721,0.0366666666666667,0.0436229006814401
"15","2013",46,83,129,2137495,3892367,6029862,0.354484895342547,0.645515104657453,6566,11646,18212,0.36053151768065,0.63946848231935,0.068534876637222,0.0487721105959128,0.0558972106303536
"16","2014",44,82,126,2345299,3689148,6034447,0.388651851611258,0.611348148388742,6976,10773,17749,0.393036227393093,0.606963772606907,0.0811353211009174,0.0554163185742133,0.0655248182996225
"17","2015",44,83,127,2418007,3618714,6036721,0.400549735526952,0.599450264473048,7621,9882,17503,0.435411072387591,0.564588927612409,0.0649521060228316,0.0541388382918438,0.0588470547906073
"18","2016",63,116,179,1988110,3305589,5293699,0.375561587464644,0.624438412535356,5745,9586,15331,0.374730937316548,0.625269062683452,0.0797214969538729,0.0484039223868141,0.060139586458809
"19","2017",45,86,131,2282635,4062503,6345138,0.359745524841225,0.640254475158775,6136,12293,18429,0.332953497205491,0.667046502794509,0.104954367666232,0.0508419425689417,0.0688588637473547
"20","2018",45,83,128,2300777,4284702,6585479,0.349371245432565,0.650628754567435,6014,12710,18724,0.321192052980132,0.678807947019868,0.101097439308281,0.0481510621557828,0.065157017731254
"21","2019",47,83,130,2315121,4382308,6697429,0.345673093361647,0.654326906638353,6430,13936,20366,0.315722282235098,0.684277717764902,0.0948678071539658,0.0420493685419059,0.0587253265245998
"22","2020",46,82,128,2638432,3727326,6365758,0.414472557706404,0.585527442293596,6918,11936,18854,0.366924790495386,0.633075209504614,0.0634576467187048,0.04046581769437,0.0489020897422298
"23","2021",43,73,116,256067,338456,594523,0.430709997762912,0.569290002237088,622,1004,1626,0.382533825338253,0.617466174661747,0.0562700964630225,0.0239043824701195,0.0362853628536285
